,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6812,1475706973593083905,1475706973593083905,1640670934000.0,2021-12-28 05:55:34,+0000,,"serem ya,, motifnya kdang cuma iseng melukai🥱 klitih..",in,[],[],776982872859242496,776982872859242496,JustMissloove,Zydan_,2,05,https://twitter.com/JustMissloove/status/1475706973593083905,[],[],0,,False,0,0,0,https://twitter.com/merapi_uncover/status/1475464515743404033,klitih,,,,,,,[],,,,
6813,1475706944958525440,1475703754280226816,1640670927000.0,2021-12-28 05:55:27,+0000,,"@arsenalskitchen Pernah ada photo pelaku klitih ya, dan muka e malah nantangin. Seolah ""tau"" dia ga bakal diapa2in. Soal klitih ini, bagi aku pribadi PAIT banget, karena salah satu orang yang aku kenal dekat adalah korbannya. Anak yg dikirim ke Jogja untuk jadi Sarjana malah jadi Jenazah :(",in,[],[],147448841,147448841,Jazedw,ॐ Dewi ॐ,2,05,https://twitter.com/Jazedw/status/1475706944958525440,[],[],0,,False,12,0,3,,klitih,,,,,,,"[{'screen_name': 'arsenalskitchen', 'name': ""arsenal's kitchen"", 'id': '3087624510'}]",,,,
6814,1475706943930912768,1475704978538852354,1640670927000.0,2021-12-28 05:55:27,+0000,,"Oiya, FYI, dulu memang aku sempet nggasruk aspal gara-gara dipepet orang pas klitih lagi lumayan rame di Jogs. Tapi kebetulan itu pelecehan seksual, jadi bukan klitih. Tapi tetep seram. Hidup memang seram. Yawda, dah lewat. Masih trauma dong, tapi masih hidup.",in,[],[],328288918,328288918,Ssslaviours,Siapa tahu kamu tahu aku.,2,05,https://twitter.com/Ssslaviours/status/1475706943930912768,[],[],0,,False,0,1,0,,klitih,,,,,,,[],,,,
6815,1475706923232071681,1475700565493485572,1640670922000.0,2021-12-28 05:55:22,+0000,,"@tubirfess Bisa dicoba masukin kata ""klitih"" ""luka"" ""darah"" ataupun kata2 sensitif lainnya ke mute words nder",in,[],[],1108731668511092739,1108731668511092739,megicjar,ま ろ jamalです⁷⁷,2,05,https://twitter.com/megicjar/status/1475706923232071681,[],[],0,,False,1,1,0,,klitih,,,,,,,"[{'screen_name': 'tubirfess', 'name': 'WALK OF TUBI #12 LIVE NOW', 'id': '865777701671415808'}]",,,,
6816,1475706911219609604,1475706911219609604,1640670919000.0,2021-12-28 05:55:19,+0000,,Mau nanya klitih itu apa?#YogyaTidakAman,in,['yogyatidakaman'],[],1358071292537106432,1358071292537106432,hidayah_3110,𝓪𝔂𝓪.,2,05,https://twitter.com/hidayah_3110/status/1475706911219609604,[],[],0,,False,0,1,0,,klitih,,,,,,,[],,,,
6817,1475706893418991618,1475706893418991618,1640670915000.0,2021-12-28 05:55:15,+0000,,"Fenomena Klitih di Jogja sangat meresahkan, trending topic hari ini menjadi reminder bahwa pemerintah dan kepolisian punya tugas besar untuk masalah menahun ini.  Remaja, yang notabene usia rentan dalam perkembangan; didorong kelompok untuk menunjukkan eksistensi as 'pick me boy'  https://t.co/fbMQjmhree",in,[],[],323589797,323589797,zahwaisl,Zahwa Islami,2,05,https://twitter.com/zahwaisl/status/1475706893418991618,[],['https://pbs.twimg.com/media/FHrDmVuVgAAgfq0.png'],1,https://pbs.twimg.com/media/FHrDmVuVgAAgfq0.png,False,368,4,85,,klitih,,,,,,,[],,,,
6818,1475706881058705413,1475706881058705413,1640670912000.0,2021-12-28 05:55:12,+0000,,baru mau balik solo naik motor elah jogja darurat klitih lagi hadeh kan galucu banget enak2 motoran disayat2 orang😩,in,[],[],1139800539225419776,1139800539225419776,sorryidkhow,alifia,2,05,https://twitter.com/sorryidkhow/status/1475706881058705413,[],[],0,,False,0,0,0,,klitih,,,,,,,[],,,,
6819,1475706873605079040,1475706873605079040,1640670910000.0,2021-12-28 05:55:10,+0000,,"Selain klitih, gue rasa orang2 indonesia timur yang ada di jogja juga harus dipantau deh, bukannya apa gue dan beberapa orang di jogja sering bgt ngeliat orang timur yang gabener dan  meresahkan mahasiswa yang ada di yogya. #YogyaTidakAman",in,['yogyatidakaman'],[],1166146052317011968,1166146052317011968,c4llmelady,ღ𝖕𝖎𝖊𝖘𝖚𝖘𝖚,2,05,https://twitter.com/c4llmelady/status/1475706873605079040,[],[],0,,False,4,0,1,,klitih,,,,,,,[],,,,
6820,1475706847449415681,1475703395214258176,1640670904000.0,2021-12-28 05:55:04,+0000,,@saturnssie klitih itu apaa,in,[],[],1326004369616117761,1326004369616117761,amoureten,️️ ️️️ ️️️,2,05,https://twitter.com/amoureten/status/1475706847449415681,[],[],0,,False,0,1,0,,klitih,,,,,,,"[{'screen_name': 'saturnssie', 'name': 'ollin', 'id': '1415634676874551304'}]",,,,
6821,1475706845620695042,1475501699338883076,1640670903000.0,2021-12-28 05:55:03,+0000,,"@AbyanYuliansyah leres mas, ning yo nik jam 8 klitih wis beraksi ki yo rodo sulit e",in,[],[],1084928011378384896,1084928011378384896,dafmuch,dafmuc,2,05,https://twitter.com/dafmuch/status/1475706845620695042,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'AbyanYuliansyah', 'name': 'Kentangg_', 'id': '1239930660581543937'}]",,,,
